asset_id,bank,url,language,id_source,match_score,stem,file,safe_name,image_count,cta_count,cta_keyword_hits,word_count,link_count,has_viewport_meta,img_srcs,h1_count,h2_count,h3_count,h4_count,h5_count,h6_count,page_width,page_height,page_dominant_colour,page_palette,page_brightness,page_colourfulness,page_whiteness_ratio,screenshot_matched
argenta__10-conseils-destines-aux-jeunes-pour-economiser-de-l-argent__fr__5f23ac2e9a,Argenta,https://www.argenta.be/fr/argenta-vous-informe/10-conseils-destines-aux-jeunes-pour-economiser-de-l-argent.html,fr,assets_table_fuzzy_match,0.959,argenta_10-conseils-destines-aux-jeunes-pour-economiser-de-l-argent-html,argenta_10-conseils-destines-aux-jeunes-pour-economiser-de-l-argent-html.html,10-conseils-destines-aux-jeunes-pour-economiser-de-l-argent-html,16,20,0,1725,147,True,"['/etc.clientlibs/argenta/clientlibs/clientlib-site/resources/img/argenta-logo.svg', '/adobe/dynamicmedia/deliver/dm-aid--edef3c7c-33c2-4a38-b806-00803e23b77b/schoenen-winkel-jonge-vrouw-1500x1001.jpg?preferwebp=true&quality=80', '/content/dam/argenta/iconen/social-media/facebook-48.png', '/content/dam/argenta/iconen/social-media/linkedin-48.png', '/content/dam/argenta/iconen/play-store_48x48.png', '/content/dam/argenta/iconen/app-store_48x48.png']",1,25,6,0,0,0,1366,5075,#fefefe,"['#fefefe', '#eeefee', '#bebebb', '#8b8279', '#413e3e']",239.23,17.43,0.864,True
argenta__10-tips-voor-jongeren-om-geld-te-sparen__nl__77aa036aeb,Argenta,https://www.argenta.be/nl/argenta-informeert/10-tips-voor-jongeren-om-geld-te-sparen.html,nl,assets_table_fuzzy_match,0.94,argenta_10-tips-voor-jongeren-om-geld-te-sparen-html,argenta_10-tips-voor-jongeren-om-geld-te-sparen-html.html,10-tips-voor-jongeren-om-geld-te-sparen-html,17,20,1,1463,149,True,"['/etc.clientlibs/argenta/clientlibs/clientlib-site/resources/img/argenta-logo.svg', '/adobe/dynamicmedia/deliver/dm-aid--edef3c7c-33c2-4a38-b806-00803e23b77b/schoenen-winkel-jonge-vrouw-1500x1001.jpg?preferwebp=true&quality=80', '/content/dam/argenta/iconen/social-media/facebook-48.png', '/content/dam/argenta/iconen/social-media/instagram-48.png', '/content/dam/argenta/iconen/social-media/linkedin-48.png', '/content/dam/argenta/iconen/play-store_48x48.png', '/content/dam/argenta/iconen/app-store_48x48.png']",1,25,6,0,0,0,1366,4939,#fdfdfd,"['#fdfdfd', '#ebedec', '#b4b2ae', '#878079', '#413d3d']",239.4,17.01,0.865,True
argenta__affaires-bancaires-au-quotidien-pour-votre-ado__fr__d0f973782d,Argenta,https://www.argenta.be/fr/thema/les-jeunes/les-parents/affaires-bancaires-au-quotidien-pour-votre-ado.html,fr,assets_table_fuzzy_match,0.948,argenta_affaires-bancaires-au-quotidien-pour-votre-ado-html,argenta_affaires-bancaires-au-quotidien-pour-votre-ado-html.html,affaires-bancaires-au-quotidien-pour-votre-ado-html,10,25,1,1514,153,True,"['/etc.clientlibs/argenta/clientlibs/clientlib-site/resources/img/argenta-logo.svg', '/adobe/dynamicmedia/deliver/dm-aid--690317a3-1514-4fcb-8519-13d3e53f9718/ado-pizza-pisa-2160x768.jpg?preferwebp=true&quality=80', '/adobe/dynamicmedia/deliver/dm-aid--4615c37a-d8e0-4462-b4bf-15e9aae615a8/ado-pizza-pisa-1492x768.jpg?preferwebp=true&quality=80', '/adobe/dynamicmedia/deliver/dm-aid--26139292-786e-4c69-82cd-68f9bef47387/bankkaart.png?preferwebp=true&quality=80', '/adobe/dynamicmedia/deliver/dm-aid--bb7696a3-d917-4683-ba77-9985e7f44c00/fixed-income-hand.png?preferwebp=true&quality=80', '/adobe/dynamicmedia/deliver/dm-aid--eab761a7-9a70-4676-a8a6-55b5e851269a/mobile.png?preferwebp=true&quality=80', '/content/dam/argenta/iconen/social-media/facebook-48.png', '/content/dam/argenta/iconen/social-media/linkedin-48.png', '/content/dam/argenta/iconen/play-store_48x48.png', '/content/dam/argenta/iconen/app-store_48x48.png']",1,28,8,0,0,0,1366,5055,#fbfbfb,"['#fbfbfb', '#c5dcd0', '#afada3', '#838179', '#50392c']",230.92,24.96,0.736,True
argenta__dagelijks-bankieren-voor-je-tiener__nl__ff1f0b4add,Argenta,https://www.argenta.be/nl/thema/jongeren/ouders/dagelijks-bankieren-voor-je-tiener.html,nl,assets_table_fuzzy_match,0.932,argenta_dagelijks-bankieren-voor-je-tiener-html,argenta_dagelijks-bankieren-voor-je-tiener-html.html,dagelijks-bankieren-voor-je-tiener-html,11,25,1,1249,155,True,"['/etc.clientlibs/argenta/clientlibs/clientlib-site/resources/img/argenta-logo.svg', '/adobe/dynamicmedia/deliver/dm-aid--7198bcb9-27ca-4efb-a0f0-9f8fde92f1cd/tiener-pizza-pisa-2160x756.jpg?preferwebp=true&quality=80', '/adobe/dynamicmedia/deliver/dm-aid--91cb996b-d311-4b55-be92-671dbf59184a/tiener-pizza-pisa-1640x756.jpg?preferwebp=true&quality=80', '/adobe/dynamicmedia/deliver/dm-aid--26139292-786e-4c69-82cd-68f9bef47387/bankkaart.png?preferwebp=true&quality=80', '/adobe/dynamicmedia/deliver/dm-aid--bb7696a3-d917-4683-ba77-9985e7f44c00/fixed-income-hand.png?preferwebp=true&quality=80', '/adobe/dynamicmedia/deliver/dm-aid--eab761a7-9a70-4676-a8a6-55b5e851269a/mobile.png?preferwebp=true&quality=80', '/content/dam/argenta/iconen/social-media/facebook-48.png', '/content/dam/argenta/iconen/social-media/instagram-48.png', '/content/dam/argenta/iconen/social-media/linkedin-48.png', '/content/dam/argenta/iconen/play-store_48x48.png', '/content/dam/argenta/iconen/app-store_48x48.png']",1,28,8,0,0,0,1366,4946,#fbfbfb,"['#fbfbfb', '#c7ddd2', '#b4b2a8', '#82837a', '#4f382b']",231.12,24.85,0.737,True
argenta__de-jongh-gits-bv-3136__fr__8452abc664,Argenta,https://www.argenta.be/fr/agences/de-jongh--gits-bv-3136.html,fr,assets_table_fuzzy_match,0.894,argenta_de-jongh-gits-bv-3136-html,argenta_de-jongh-gits-bv-3136-html.html,de-jongh-gits-bv-3136-html,6,24,0,1124,153,True,"['/etc.clientlibs/argenta/clientlibs/clientlib-site/resources/img/argenta-logo.svg', '/content/dam/argenta/iconen/social-media/facebook-48.png', '/content/dam/argenta/iconen/social-media/instagram-48.png', '/content/dam/argenta/iconen/social-media/linkedin-48.png', '/content/dam/argenta/iconen/play-store_48x48.png', '/content/dam/argenta/iconen/app-store_48x48.png']",1,25,7,0,0,0,1366,3236,#fefefe,"['#fefefe', '#e8ebeb', '#c5d6d5', '#118957', '#74a893']",250.13,16.92,0.961,True
argenta__de-jongh-gits-bv-3728__nl__7552a3e0be,Argenta,https://www.argenta.be/nl/kantoren/de-jongh--gits-bv-3728.html,nl,assets_table_fuzzy_match,0.894,argenta_de-jongh-gits-bv-3728-html,argenta_de-jongh-gits-bv-3728-html.html,de-jongh-gits-bv-3728-html,6,24,0,1113,153,True,"['/etc.clientlibs/argenta/clientlibs/clientlib-site/resources/img/argenta-logo.svg', '/content/dam/argenta/iconen/social-media/facebook-48.png', '/content/dam/argenta/iconen/social-media/instagram-48.png', '/content/dam/argenta/iconen/social-media/linkedin-48.png', '/content/dam/argenta/iconen/play-store_48x48.png', '/content/dam/argenta/iconen/app-store_48x48.png']",1,25,7,0,0,0,1366,3173,#fefefe,"['#fefefe', '#ebeded', '#c9d9d9', '#209061', '#89b4a3']",250.14,17.06,0.958,True
argenta__de-meeste-jongeren-beschikken-over-zakgeld-een-eigen-zichtrekening-en-een-debetkaart__en__d365c96986,Argenta,https://www.argenta.be/nl/over-argenta/persberichten/de-meeste-jongeren-beschikken-over-zakgeld-een-eigen-zichtrekening-en-een-debetkaart.html,en,assets_table_fuzzy_match,0.976,argenta_de-meeste-jongeren-beschikken-over-zakgeld-een-eigen-zichtrekening-en-een-debetk,argenta_de-meeste-jongeren-beschikken-over-zakgeld-een-eigen-zichtrekening-en-een-debetk.html,de-meeste-jongeren-beschikken-over-zakgeld-een-eigen-zichtrekening-en-een-debetk,10,19,0,1368,140,True,"['/etc.clientlibs/argenta/clientlibs/clientlib-site/resources/img/argenta-logo.svg', '/adobe/dynamicmedia/deliver/dm-aid--59270876-e561-45a9-a20f-53477d6a4feb/infographics-nl-zakgeld-02-nl.png?preferwebp=true&quality=80', '/adobe/dynamicmedia/deliver/dm-aid--b0d748e8-9801-407d-a409-d52c1dc87394/infographics-nl-zakgeld-01-nl.png?preferwebp=true&quality=80', '/adobe/dynamicmedia/deliver/dm-aid--4a1d31ad-5686-489f-95e9-7e27a064216d/infographics-nl-zakgeld-wijze-nl.png?preferwebp=true&quality=80', '/adobe/dynamicmedia/deliver/dm-aid--6ae0b79c-935d-4b8b-a77c-aeeccd25d6ce/infographics-nl-debetkaart-01-nl.png?preferwebp=true&quality=80', '/content/dam/argenta/iconen/social-media/facebook-48.png', '/content/dam/argenta/iconen/social-media/instagram-48.png', '/content/dam/argenta/iconen/social-media/linkedin-48.png', '/content/dam/argenta/iconen/play-store_48x48.png', '/content/dam/argenta/iconen/app-store_48x48.png']",1,32,3,0,0,0,1366,3712,#fefefe,"['#fefefe', '#eeefef', '#d6e4dd', '#b1ceb6', '#87c555']",248.93,24.93,0.943,True
argenta__epargner-ou-investir-pour-votre-enfant__fr__2bd2a47ced,Argenta,https://www.argenta.be/fr/thema/les-jeunes/les-parents/epargner-ou-investir-pour-votre-enfant.html,fr,assets_table_fuzzy_match,0.938,argenta_epargner-ou-investir-pour-votre-enfant-html,argenta_epargner-ou-investir-pour-votre-enfant-html.html,epargner-ou-investir-pour-votre-enfant-html,5,22,0,1431,150,True,"['/etc.clientlibs/argenta/clientlibs/clientlib-site/resources/img/argenta-logo.svg', '/content/dam/argenta/iconen/social-media/facebook-48.png', '/content/dam/argenta/iconen/social-media/linkedin-48.png', '/content/dam/argenta/iconen/play-store_48x48.png', '/content/dam/argenta/iconen/app-store_48x48.png']",1,27,11,0,0,0,1366,4976,#fafbfa,"['#fafbfa', '#b9bab4', '#837f6d', '#493b2c', '#167658']",220.75,33.58,0.745,True
argenta__jongeren__nl__097db4bfe2,Argenta,https://www.argenta.be/nl/thema/jongeren.html,nl,assets_table_fuzzy_match,0.762,argenta_jongeren-html,argenta_jongeren-html.html,jongeren-html,15,19,0,1103,156,True,"['/etc.clientlibs/argenta/clientlibs/clientlib-site/resources/img/argenta-logo.svg', '/content/dam/argenta/iconen/Mobiel.jpg', '/content/dam/argenta/iconen/foundations/wonen_huis.png', '/content/dam/argenta/entry-points-behoefte-artikels/Ik_ben_18_wat_nu.jpg/jcr:content/renditions/cq5dam.web.744.484.jpeg', '/content/dam/argenta/entry-points-behoefte-artikels/Jobstudent.jpg/jcr:content/renditions/cq5dam.web.744.484.jpeg', '/content/dam/argenta/foto/shopping/shopping-jonge-vrouwen-kleding-1500x1000.jpg/jcr:content/renditions/cq5dam.web.744.484.jpeg', '/content/dam/argenta/iconen/foundations/autoverzekering_schild.png', '/content/dam/argenta/foto/werk/jonge-vrouw-laptop-bureau-oung-woman-using-laptop-while-working-or-studying.jpeg/_jcr_content/renditions/cq5dam.web.216.73.jpeg', '/content/dam/argenta/foto/jongeren/jonge-vrouw-laptop-zetel-1500x1000.jpg/_jcr_content/renditions/cq5dam.web.216.73.jpeg', '/content/dam/argenta/foto/shopping/schoenen-winkel-jonge-vrouw-1500x1001.jpg/_jcr_content/renditions/cq5dam.web.216.73.jpeg', '/content/dam/argenta/iconen/social-media/facebook-48.png', '/content/dam/argenta/iconen/social-media/instagram-48.png', '/content/dam/argenta/iconen/social-media/linkedin-48.png', '/content/dam/argenta/iconen/play-store_48x48.png', '/content/dam/argenta/iconen/app-store_48x48.png']",1,32,3,0,0,0,1366,3109,#fdfdfd,"['#fdfdfd', '#dfe2df', '#3b322e', '#73685c', '#b0a597']",212.94,24.87,0.698,True
argenta__la-plupart-des-jeunes-ont-de-l-argent-de-poche-un-compte-a-vue-et-une-carte-de-debit__fr__12a873bd0d,Argenta,https://www.argenta.be/fr/a-propos-d-argenta/presse/la-plupart-des-jeunes-ont-de-l-argent-de-poche-un-compte-a-vue-et-une-carte-de-debit.html,fr,assets_table_fuzzy_match,0.976,argenta_la-plupart-des-jeunes-ont-de-l-argent-de-poche-un-compte-a-vue-et-une-carte-de-d,argenta_la-plupart-des-jeunes-ont-de-l-argent-de-poche-un-compte-a-vue-et-une-carte-de-d.html,la-plupart-des-jeunes-ont-de-l-argent-de-poche-un-compte-a-vue-et-une-carte-de-d,9,19,0,1689,138,True,"['/etc.clientlibs/argenta/clientlibs/clientlib-site/resources/img/argenta-logo.svg', '/adobe/dynamicmedia/deliver/dm-aid--85ad2c4e-ff58-4c65-8941-75c54941914a/infographics-argent-de-poche-02-fr.png?preferwebp=true&quality=80', '/adobe/dynamicmedia/deliver/dm-aid--252c48bb-cb2d-4c15-b5cd-6e014266b21b/infographics-argent-de-poche-01-fr.png?preferwebp=true&quality=80', '/adobe/dynamicmedia/deliver/dm-aid--56bb6b41-c189-4dfc-af72-6540b9635245/infographics-zakgeld-wijze-fr.png?preferwebp=true&quality=80', '/adobe/dynamicmedia/deliver/dm-aid--cb0bbef0-b225-4587-a677-04640fee74eb/infographics-compte-a-vue-01-fr.png?preferwebp=true&quality=80', '/content/dam/argenta/iconen/social-media/facebook-48.png', '/content/dam/argenta/iconen/social-media/linkedin-48.png', '/content/dam/argenta/iconen/play-store_48x48.png', '/content/dam/argenta/iconen/app-store_48x48.png']",1,32,3,0,0,0,1366,3744,#fefefe,"['#fefefe', '#eeefef', '#cfe4da', '#aed1af', '#82c24b']",248.95,24.99,0.942,True
