2026-09-22 10:20:27,479 | INFO | === Scraping ing (ING) — 16 pages ===
2026-09-22 10:20:28,754 | INFO | [1/16] https://www.ing.be/fr/particuliers/epargner/compte-epargne-jeune
2026-09-22 10:20:31,117 | INFO | No cookie banner matched/dismissed for https://www.ing.be/fr/particuliers/epargner/compte-epargne-jeune (may not have one, or uses an unlisted selector)
2026-09-22 10:20:32,743 | INFO | Saved ing__compte-epargne-jeune (html: ing_compte-epargne-jeune.html, screenshot: ing_compte-epargne-jeune.png)
2026-09-22 10:20:32,744 | INFO | [2/16] https://www.ing.be/fr/particuliers/epargner/comparatif-compte-epargne-jeune
2026-09-22 10:20:34,674 | INFO | No cookie banner matched/dismissed for https://www.ing.be/fr/particuliers/epargner/comparatif-compte-epargne-jeune (may not have one, or uses an unlisted selector)
2026-09-22 10:20:35,860 | INFO | Saved ing__comparatif-compte-epargne-jeune (html: ing_comparatif-compte-epargne-jeune.html, screenshot: ing_comparatif-compte-epargne-jeune.png)
2026-09-22 10:20:35,860 | INFO | [3/16] https://www.ing.be/fr/particuliers/jeunes
2026-09-22 10:20:37,796 | INFO | No cookie banner matched/dismissed for https://www.ing.be/fr/particuliers/jeunes (may not have one, or uses an unlisted selector)
2026-09-22 10:20:39,041 | INFO | Saved ing__jeunes (html: ing_jeunes.html, screenshot: ing_jeunes.png)
2026-09-22 10:20:39,042 | INFO | [4/16] https://www.ing.be/fr/particuliers/cartes-de-credit/carte-de-credit-jeunes
2026-09-22 10:20:40,986 | INFO | No cookie banner matched/dismissed for https://www.ing.be/fr/particuliers/cartes-de-credit/carte-de-credit-jeunes (may not have one, or uses an unlisted selector)
2026-09-22 10:20:43,112 | INFO | Saved ing__carte-de-credit-jeunes (html: ing_carte-de-credit-jeunes.html, screenshot: ing_carte-de-credit-jeunes.png)
2026-09-22 10:20:43,114 | INFO | [5/16] https://www.ing.be/fr/particuliers/gerer-le-quotidien/turning18_forparents
2026-09-22 10:20:45,016 | INFO | No cookie banner matched/dismissed for https://www.ing.be/fr/particuliers/gerer-le-quotidien/turning18_forparents (may not have one, or uses an unlisted selector)
2026-09-22 10:20:46,762 | INFO | Saved ing__turning18-forparents (html: ing_turning18-forparents.html, screenshot: ing_turning18-forparents.png)
2026-09-22 10:20:46,762 | INFO | [6/16] https://www.ing.be/fr/particuliers/epargner/compte-epargne-automatique-jeune
2026-09-22 10:20:48,641 | INFO | No cookie banner matched/dismissed for https://www.ing.be/fr/particuliers/epargner/compte-epargne-automatique-jeune (may not have one, or uses an unlisted selector)
2026-09-22 10:20:50,259 | INFO | Saved ing__compte-epargne-automatique-jeune (html: ing_compte-epargne-automatique-jeune.html, screenshot: ing_compte-epargne-automatique-jeune.png)
2026-09-22 10:20:50,259 | INFO | [7/16] https://www.ing.be/fr/particuliers/comptes-bancaire-packs/pack-go
2026-09-22 10:20:52,168 | INFO | No cookie banner matched/dismissed for https://www.ing.be/fr/particuliers/comptes-bancaire-packs/pack-go (may not have one, or uses an unlisted selector)
2026-09-22 10:20:53,528 | INFO | Saved ing__pack-go (html: ing_pack-go.html, screenshot: ing_pack-go.png)
2026-09-22 10:20:53,528 | INFO | [8/16] https://www.ing.be/fr/particuliers/comptes-bancaire-packs/pack-more-jeunes
2026-09-22 10:20:55,436 | INFO | No cookie banner matched/dismissed for https://www.ing.be/fr/particuliers/comptes-bancaire-packs/pack-more-jeunes (may not have one, or uses an unlisted selector)
2026-09-22 10:20:57,256 | INFO | Saved ing__pack-more-jeunes (html: ing_pack-more-jeunes.html, screenshot: ing_pack-more-jeunes.png)
2026-09-22 10:20:57,257 | INFO | [9/16] https://www.ing.be/fr/particuliers/comptes-bancaire-packs/comparez-packs
2026-09-22 10:20:59,201 | INFO | No cookie banner matched/dismissed for https://www.ing.be/fr/particuliers/comptes-bancaire-packs/comparez-packs (may not have one, or uses an unlisted selector)
2026-09-22 10:21:00,999 | INFO | Saved ing__comparez-packs (html: ing_comparez-packs.html, screenshot: ing_comparez-packs.png)
2026-09-22 10:21:00,999 | INFO | [10/16] https://www.ing.be/fr/particuliers/comptes-bancaire-packs/pack-more
2026-09-22 10:21:02,921 | INFO | No cookie banner matched/dismissed for https://www.ing.be/fr/particuliers/comptes-bancaire-packs/pack-more (may not have one, or uses an unlisted selector)
2026-09-22 10:21:04,804 | INFO | Saved ing__pack-more (html: ing_pack-more.html, screenshot: ing_pack-more.png)
2026-09-22 10:21:04,804 | INFO | [11/16] https://www.ing.be/fr/particuliers/gerer-le-quotidien/ing-plus-deals
2026-09-22 10:21:06,714 | INFO | No cookie banner matched/dismissed for https://www.ing.be/fr/particuliers/gerer-le-quotidien/ing-plus-deals (may not have one, or uses an unlisted selector)
2026-09-22 10:21:08,405 | INFO | Saved ing__ing-plus-deals (html: ing_ing-plus-deals.html, screenshot: ing_ing-plus-deals.png)
2026-09-22 10:21:08,405 | INFO | [12/16] https://www.ing.be/fr/particuliers/comptes-bancaire-packs/compte-jeune
2026-09-22 10:21:10,381 | INFO | No cookie banner matched/dismissed for https://www.ing.be/fr/particuliers/comptes-bancaire-packs/compte-jeune (may not have one, or uses an unlisted selector)
2026-09-22 10:21:11,799 | INFO | Saved ing__compte-jeune (html: ing_compte-jeune.html, screenshot: ing_compte-jeune.png)
2026-09-22 10:21:11,800 | INFO | [13/16] https://www.ing.be/fr/particuliers/gerer-le-quotidien/carte-de-debit
2026-09-22 10:21:13,704 | INFO | No cookie banner matched/dismissed for https://www.ing.be/fr/particuliers/gerer-le-quotidien/carte-de-debit (may not have one, or uses an unlisted selector)
2026-09-22 10:21:15,051 | INFO | Saved ing__carte-de-debit (html: ing_carte-de-debit.html, screenshot: ing_carte-de-debit.png)
2026-09-22 10:21:15,051 | INFO | [14/16] https://www.ing.be/fr/particuliers/comptes-bancaire-packs/ouvrir-un-compte-bancaire-en-ligne
2026-09-22 10:21:16,968 | INFO | No cookie banner matched/dismissed for https://www.ing.be/fr/particuliers/comptes-bancaire-packs/ouvrir-un-compte-bancaire-en-ligne (may not have one, or uses an unlisted selector)
2026-09-22 10:21:18,565 | INFO | Saved ing__ouvrir-un-compte-bancaire-en-ligne (html: ing_ouvrir-un-compte-bancaire-en-ligne.html, screenshot: ing_ouvrir-un-compte-bancaire-en-ligne.png)
2026-09-22 10:21:18,565 | INFO | [15/16] https://www.ing.be/fr/particuliers/gerer-le-quotidien/mgm-inviter-ao
2026-09-22 10:21:20,348 | INFO | No cookie banner matched/dismissed for https://www.ing.be/fr/particuliers/gerer-le-quotidien/mgm-inviter-ao (may not have one, or uses an unlisted selector)
2026-09-22 10:21:22,324 | INFO | Saved ing__mgm-inviter-ao (html: ing_mgm-inviter-ao.html, screenshot: ing_mgm-inviter-ao.png)
2026-09-22 10:21:22,326 | INFO | [16/16] https://www.ing.be/fr/particuliers/epargner/epargne-vers-propriete
2026-09-22 10:21:24,307 | INFO | Dismissed cookie banner via 'ing-form ing-button' (frame: https://www.ing.be/fr/particuliers/epargner/epargne-vers-pro) on https://www.ing.be/fr/particuliers/epargner/epargne-vers-propriete
2026-09-22 10:21:26,557 | INFO | Saved ing__epargne-vers-propriete (html: ing_epargne-vers-propriete.html, screenshot: ing_epargne-vers-propriete.png)
2026-09-22 10:21:27,308 | INFO | === Scraping ing_adult (ING) — 6 pages ===
2026-09-22 10:21:28,252 | INFO | [1/6] https://www.ing.be/fr/particuliers/epargner/compte-epargne-classique
2026-09-22 10:21:30,462 | INFO | No cookie banner matched/dismissed for https://www.ing.be/fr/particuliers/epargner/compte-epargne-classique (may not have one, or uses an unlisted selector)
2026-09-22 10:21:31,947 | INFO | Saved ing_adult__compte-epargne-classique (html: ing_adult_compte-epargne-classique.html, screenshot: ing_adult_compte-epargne-classique.png)
